0;//Engineering East---------------------------------------------------------//{
	Engineering East;//area name
	0;//area class
	0;//climate in climate_types.dat, -1=random climate
	0;//terrain map number
	-1;//wrapping, 0=wrap horizontal, 1=wrap vertical, 2=wrap both
	1;//random object density, the bigger the value, the more the area will get. This is multiplied ingame by the area size.
	begin_alien_list;
	end_alien_list;
	begin_excluded_plot_object_classes;
	end_excluded_plot_object_classes;
	none;//enter area text, specify none to not show it//}
1;//Engineering Maint.--------------------------------------------------------//{
	Engineering East Maintenance;//area name
	0;//area class
	0;//climate in climate_types.dat, -1=random climate
	1;//terrain map number
	-1;//wrapping, 0=wrap horizontal, 1=wrap vertical, 2=wrap both
	1;//random object density, the bigger the value, the more the area will get. This is multiplied ingame by the area size.
	begin_alien_list;
	end_alien_list;
	begin_excluded_plot_object_classes;
	end_excluded_plot_object_classes;
	none;//enter area text, specify none to not show it//}
2;//Lower deck maintenance---------------------------------------------------------//{
	Lower deck maintenance;//area name
	0;//area class
	0;//climate in climate_types.dat, -1=random climate
	2;//terrain map number
	-1;//wrapping, 0=wrap horizontal, 1=wrap vertical, 2=wrap both
	1;//random object density, the bigger the value, the more the area will get. This is multiplied ingame by the area size.
	begin_alien_list;
	end_alien_list;
	begin_excluded_plot_object_classes;
	end_excluded_plot_object_classes;
	none;//enter area text, specify none to not show it//}
3;//Engineering West---------------------------------------------------------//{
	Engineering West;//area name
	0;//area class
	0;//climate in climate_types.dat, -1=random climate
	3;//terrain map number
	-1;//wrapping, 0=wrap horizontal, 1=wrap vertical, 2=wrap both
	1;//random object density, the bigger the value, the more the area will get. This is multiplied ingame by the area size.
	begin_alien_list;
	end_alien_list;
	begin_excluded_plot_object_classes;
	end_excluded_plot_object_classes;
	none;//enter area text, specify none to not show it//}
4;//Main Dormitories---------------------------------------------------------//{
	Main Dormitories;//area name
	0;//area class
	0;//climate in climate_types.dat, -1=random climate
	5;//terrain map number
	-1;//wrapping, 0=wrap horizontal, 1=wrap vertical, 2=wrap both
	1;//random object density, the bigger the value, the more the area will get. This is multiplied ingame by the area size.
	begin_alien_list;
	end_alien_list;
	begin_excluded_plot_object_classes;
	end_excluded_plot_object_classes;
	none;//enter area text, specify none to not show it//}
5;//Dorm---------------------------------------------------------//{
	Dorm;//area name
	0;//area class
	0;//climate in climate_types.dat, -1=random climate
	6;//terrain map number
	-1;//wrapping, 0=wrap horizontal, 1=wrap vertical, 2=wrap both
	1;//random object density, the bigger the value, the more the area will get. This is multiplied ingame by the area size.
	begin_alien_list;
	end_alien_list;
	begin_excluded_plot_object_classes;
	end_excluded_plot_object_classes;
	none;//enter area text, specify none to not show it//}
6;//Main Dormitories Maintenance Shaft---------------------------------------------------------//{
	Main Dormitories Maintenance Shaft;//area name
	0;//area class
	0;//climate in climate_types.dat, -1=random climate
	7;//terrain map number
	-1;//wrapping, 0=wrap horizontal, 1=wrap vertical, 2=wrap both
	1;//random object density, the bigger the value, the more the area will get. This is multiplied ingame by the area size.
	begin_alien_list;
	end_alien_list;
	begin_excluded_plot_object_classes;
	end_excluded_plot_object_classes;
	none;//enter area text, specify none to not show it//}
7;//Common Area--------------------------------------------------------//{
	Common Area;//area name
	0;//area class
	0;//climate in climate_types.dat, -1=random climate
	8;//terrain map number
	-1;//wrapping, 0=wrap horizontal, 1=wrap vertical, 2=wrap both
	1;//random object density, the bigger the value, the more the area will get. This is multiplied ingame by the area size.
	begin_alien_list;
	end_alien_list;
	begin_excluded_plot_object_classes;
	end_excluded_plot_object_classes;
	none;//enter area text, specify none to not show it//}
8;//Cargo Bay---------------------------------------------------------//{
	Cargo Bay;//area name
	0;//area class
	0;//climate in climate_types.dat, -1=random climate
	9;//terrain map number
	-1;//wrapping, 0=wrap horizontal, 1=wrap vertical, 2=wrap both
	1;//random object density, the bigger the value, the more the area will get. This is multiplied ingame by the area size.
	begin_alien_list;
	end_alien_list;
	begin_excluded_plot_object_classes;
	end_excluded_plot_object_classes;
	none;//enter area text, specify none to not show it//}
9;//Crew Sector--------------------------------------------------------//{
	Crew Sector;//area name
	0;//area class
	0;//climate in climate_types.dat, -1=random climate
	10;//terrain map number
	-1;//wrapping, 0=wrap horizontal, 1=wrap vertical, 2=wrap both
	1;//random object density, the bigger the value, the more the area will get. This is multiplied ingame by the area size.
	begin_alien_list;
	end_alien_list;
	begin_excluded_plot_object_classes;
	end_excluded_plot_object_classes;
	none;//enter area text, specify none to not show it//}
10;//Crew Sector Maintenance Shaft II---------------------------------------------------------//{
	Crew Sector Maintenance Shaft II;//area name
	0;//area class
	0;//climate in climate_types.dat, -1=random climate
	11;//terrain map number
	-1;//wrapping, 0=wrap horizontal, 1=wrap vertical, 2=wrap both
	1;//random object density, the bigger the value, the more the area will get. This is multiplied ingame by the area size.
	begin_alien_list;
	end_alien_list;
	begin_excluded_plot_object_classes;
	end_excluded_plot_object_classes;
	none;//enter area text, specify none to not show it//}
11;//Crew Sector Maintenance Shaft I--------------------------------------------------------//{
	Crew Sector Maintenance Shaft I;//area name
	0;//area class
