Not so chalenging as there are plenty of supplies to use. Suggested for people who don't like chalenges.;//Easy difficulty level description
Chalenging for beginners.;//Medium difficulty level description
Incredibly chalenging difficulty. Feel the real struggle to survive as resources are scarse, enemies are more agressive and abundand and your maximum and minimum welness is lowered. You will have to avoid combat and conserve your supplies to beat this difficulty.;//Hard difficulty level description
Engineer (Character);//name------------------------------
	0;//identifier//{
	1;//visible in start menu
	0;//side
	20;//start area //12-Sart //14-E.Common //16-Main Engineering
	journal.dat;//journal text file name
	High negative effects of body temperature.;//description in start menu
	0;//creature number in creatures.dat
	0;//start animation number in animation.dat
	20;//day length
	10;//maximum carry weight
	1.0;//climatic temperature change multiplier
	ragdoll_human.png;//rag doll texture
	computer.png;//interface texture
	begin_weapon_frames;//must contain all weapon classes in order starting from 0//{
		0;//weapon class number------------------------------ |Unknown|
			1;//can use the weapon class (0=cannot, 1=can)
			player.png;texture name
			2;//row that contains the 4 weapon frames
			0.000000;//weapon_x
			16.000000;//weapon_y
		1;//weapon class number------------------------------ |Fire Extinguisher|
			1;//can use the weapon class (0=cannot, 1=can)
			player.png;texture name
			2;//row that contains the 4 weapon frames
			0.000000;//weapon_x
			16.000000;//weapon_y
		2;//weapon class number------------------------------ |Pistol|
			1;//can use the weapon class (0=cannot, 1=can)
			player.png;texture name
			2;//row that contains the 4 weapon frames
			0.000000;//weapon_x
			24.000000;//weapon_y
		3;//weapon class number------------------------------ |Fist|
			1;//can use the weapon class (0=cannot, 1=can)
			player2.png;texture name
			2;//row that contains the 4 weapon frames
			6.000000;//weapon_x
			20.000000;//weapon_y
		4;//weapon class number------------------------------ |Crowbar|
			1;//can use the weapon class (0=cannot, 1=can)
			player2.png;texture name
			3;//row that contains the 4 weapon frames
			0.000000;//weapon_x
			16.000000;//weapon_y
		5;//weapon class number------------------------------ |Knife|
			1;//can use the weapon class (0=cannot, 1=can)
			player2.png;texture name
			0;//row that contains the 4 weapon frames
			6.000000;//weapon_x
			20.000000;//weapon_y
		6;//weapon class number------------------------------ |Rifle|
			1;//can use the weapon class (0=cannot, 1=can)
			player.png;texture name
			3;//row that contains the 4 weapon frames
			6.000000;//weapon_x
			32.000000;//weapon_y
		7;//weapon class number------------------------------ |Throw Small|
			1;//can use the weapon class (0=cannot, 1=can)
			player2.png;texture name
			2;//row that contains the 4 weapon frames
			0.000000;//weapon_x
			16.000000;//weapon_y
		8;//weapon class number------------------------------ |Throw Big|
			1;//can use the weapon class (0=cannot, 1=can)
			player2.png;texture name
			1;//row that contains the 4 weapon frames
			0.000000;//weapon_x
			20.000000;//weapon_y//}
	end_weapon_frames;
	begin_specialties;//{
