0=Unknown, 1=Fire Extinguisher, 2=Pistol, 3=Fist, 4=Crowbar, 5=Knife, 6=Rifle, 7=Throw Small, 8=Throw Big 40=Stun, 41=Flames, 42= Armour Piercing, 43=Blunt, 44=Sharp, 45=Piercing, 46=Acid; 47=Psy
No Weapon - do not remove!;//name---------------------------------------
	0;//identifier
	0;//class
	bullet0.png;//bullet texture
	1;//bullets at one shot
	0;//stop at hit 0=stop where hit, 1=don't stop
	0.000000;//bullet size
	0.000000;//spread
	1.000000;//bullet speed
	1.000000;//time until bullet disappears
	1000000;//fire rate
	0;//trace 0=no trace, 1=blue beam, 2=bullet trace, 3=red beam, 4=green beam, 5=yellow bea
	-1;//hit visual effect colour, -1=nothing 0=?, 1=red, 2=green, 3=blue
	9;//hit visual effect particle, -1=nothing, 0=>particle from particles.dat 
	none;//hit effect sound
	0.000000;//push target back
	0.000000;//push shooter back
	none;//fire sound
	none;//hit sound
	0.000000;//AI hear volume, the amount of anger the AI gets when it hears the weapon
	begin_wield_conditions;
	end_wield_conditions;
	begin_fire_effects;
	end_fire_effects;
	begin_hit_effects;
	end_hit_effects;
Green Light Stick;//name--------------------------------------- PRE-CHECK!
	1;//identifier
	7;//class
	qbeaconbullet.png;//bullet texture
	1;//bullets at one shot
	0;//stop at hit 0=stop where hit, 1=don't stop
	0.000000;//bullet size
	0.000000;//spread
	0.000000;//bullet speed
	0.000000;//time until bullet disappears
	1000;//fire rate
	0;//trace 0=no trace, 1=blue beam, 2=bullet trace, 3=red beam, 4=green beam, 5=yellow beam
	-1;//hit visual effect colour, -1=nothing 0=?, 1=red, 2=green, 3=blue
	-1;//hit visual effect particle, -1=nothing, 0=>particle from particles.dat 
	none;//hit effect sound
	0.000000;//push target back
	0.000000;//push shooter back
	none;//fire sound
	none;//hit sound
	0.000000;//AI hear volume, the amount of anger the AI gets when it hears the weapon
	begin_wield_conditions;
	end_wield_conditions;
	begin_fire_effects;
		24;//effect number-----------------------Fire Weapon [Green Light Stick]
			24.000000;//parameter1
			1.000000;//parameter2
			0.000000;//parameter3
			0.000000;//parameter4
	end_fire_effects;
	begin_hit_effects;
	end_hit_effects; 
Fire extinguisher;//name---------------------------------------
  2;//identifier
  1;//class
  bullet0.png;//bullet texture
  3;//bullets at one shot
  0;//stop at hit 0=stop where hit, 1=don't stop
  0.000000;//bullet size
  0.150000;//spread
  1.000000;//bullet speed
  125.000000;//time until bullet disappears
  70;//fire rate
  0;//trace 0=no trace, 1=blue beam, 2=bullet trace, 3=red beam, 4=green beam, 5=yellow beam
  -1;//hit visual effect colour, -1=nothing 0=?, 1=red, 2=green, 3=blue
  0;//hit visual effect particle, -1=nothing, 0=>particle from particles.dat 
  none;//hit effect sound
  0.400000;//push target back
  0.000000;//push shooter back
  fire.wav;//fire sound
  claws0_hit.wav;//hit sound
  0.100000;//AI hear volume, the amount of anger the AI gets when it hears the weapon
  begin_wield_conditions;
   0;//condition
      12.000000;//condition parameter0
      1.000000;//condition parameter1
  end_wield_conditions;
  begin_fire_effects;
26;//effect number
      8.000000;//parameter1
      3.00000;//parameter2
      2.000000;//parameter3
      0.000000;//parameter4
16;//effect number
      12.000000;//parameter1
      -1.00000;//parameter2
      0.000000;//parameter3
      0.000000;//parameter4
  end_fire_effects;
  begin_hit_effects;
63;//effect number
      -5.000000;//parameter1
      -10.00000;//parameter2
      4.000000;//parameter3
      1.000000;//parameter4
  end_hit_effects;
Flames;//name---------------------------------------
  3;//identifier
  41;//class
  bullet0.png;//bullet texture
  10;//bullets at one shot
  0;//stop at hit 0=stop where hit, 1=don't stop
  0.000000;//bullet size
  6.283185;//spread
  1.000000;//bullet speed
  25.000000;//time until bullet disappears
  100;//fire rate
  0;//trace 0=no trace, 1=blue beam, 2=bullet trace, 3=red beam, 4=green beam, 5=yellow beam
  1;//hit visual effect colour, -1=nothing 0=?, 1=red, 2=green, 3=blue
  5;//hit visual effect particle, -1=nothing, 0=>particle from particles.dat 
  fire.wav;//hit effect sound
  0.000000;//push target back
  0.000000;//push shooter back
  none;//fire sound
  none;//hit sound
  0.000000;//AI hear volume, the amount of anger the AI gets when it hears the weapon
  begin_wield_conditions;
  end_wield_conditions;
  begin_fire_effects;
  end_fire_effects;
  begin_hit_effects;
      53;//effect number------------------------------Damage NPCs[5]
      -1.00000;//parameter1
      -1.00000;//parameter2
      0.000000;//parameter3
      5000.000000;//parameter4
      53;//effect number------------------------------Damage Burn[5]
      -1.000000;//parameter1
      3.00000;//parameter2
      7.000000;//parameter3
      5000.000000;//parameter4
    63;//effect number-----------------------Add Knock-Out Effect [5-15]
      5.000000;//parameter1
      15.00000;//parameter2
      32.000000;//parameter3
      1.000000;//parameter4
  end_hit_effects;
9mm Pistol;//name---------------------------------------PRE-CHECK!
  4;//identifier
  2;//class
  bullet0.png;//bullet texture
  0;//bullets at one shot
  0;//stop at hit 0=stop where hit, 1=don't stop
  0.000000;//bullet size
  0.000000;//spread
  0.000000;//bullet speed
  1.000000;//time until bullet disappears
  400;//fire rate
  0;//trace 0=no trace, 1=blue beam, 2=bullet trace, 3=red beam, 4=green beam, 5=yellow beam
  -1;//hit visual effect colour, -1=nothing 0=?, 1=red, 2=green, 3=blue
  0;//hit visual effect particle, -1=nothing, 0=>particle from particles.dat 
  none;//hit effect sound
  0.000000;//push target back
  0.000000;//push shooter back
  none;//fire sound
  none;//hit sound
  0.000000;//AI hear volume, the amount of anger the AI gets when it hears the weapon
  begin_wield_conditions;
  end_wield_conditions;
  begin_fire_effects;
65;//effect number----------------------Fire 9mm Parabellum Ammo
      36.000000;//parameter1
      1.000000;//parameter2
      0.000000;//parameter3
      0.000000;//parameter4
